Capitalizaciones;Ganancia
473;271.54139379201300000
474;271.54199766458900000
475;271.54259899941600000
476;271.54319781246700000
477;271.54379411960700000
478;271.54438793651300000
479;271.54497927876200000
480;271.54556816178100000
481;271.54615460083400000
482;271.54673861119900000
483;271.54732020786000000
484;271.54789940576100000
485;271.54847621974100000
486;271.54905066445300000
487;271.54962275450300000
488;271.55019250429800000
489;271.55075992819500000
490;271.55132504038600000
491;271.55188785498600000
492;271.55244838598400000
493;271.55300664724800000
494;271.55356265253000000
495;271.55411641545500000
496;271.55466794959800000
497;271.55521726837000000
498;271.55576438511300000
499;271.55630931298200000
500;271.55685206517000000
501;271.55739265462700000
502;271.55793109425600000
503;271.55846739686000000
504;271.55900157516600000
505;271.55953364172900000
506;271.56006360906800000
507;271.56059148958500000
508;271.56111729556100000
509;271.56164103922100000
510;271.56216273267000000
511;271.56268238791800000
512;271.56320001689900000
513;271.56371563143300000
514;271.56422924324000000
515;271.56474086401400000
516;271.56525050523200000
517;271.56575817841200000
518;271.56626389497200000
519;271.56676766610800000
520;271.56726950308400000
521;271.56776941702100000
522;271.56826741892200000
523;271.56876351974100000
524;271.56925773037300000
525;271.56975006155400000
526;271.57024052403900000
527;271.57072912839600000
528;271.57121588519200000
529;271.57170080487700000
530;271.57218389784200000
531;271.57266517437000000
532;271.57314464470600000
533;271.57362231900600000
534;271.57409820728800000
535;271.57457231964300000
536;271.57504466591700000
537;271.57551525598000000
538;271.57598409960400000
539;271.57645120652400000
540;271.57691658633700000
541;271.57738024863300000
542;271.57784220287400000
543;271.57830245851000000
544;271.57876102486000000
545;271.57921791118900000
546;271.57967312679200000
547;271.58012668074200000
548;271.58057858219700000
549;271.58102884006100000
550;271.58147746336600000
551;271.58192446099700000
552;271.58236984175300000
553;271.58281361440600000
554;271.58325578761700000
555;271.58369637004900000
556;271.58413537023500000
557;271.58457279674400000
558;271.58500865797200000
559;271.58544296229600000
560;271.58587571811000000
561;271.58630693360400000
562;271.58673661705900000
563;271.58716477655700000
564;271.58759142021400000
565;271.58801655609700000
566;271.58844019216200000
567;271.58886233630700000
568;271.58928299645900000
569;271.58970218038200000
570;271.59011989583500000
571;271.59053615053800000
572;271.59095095211100000
573;271.59136430819600000
574;271.59177622633400000
575;271.59218671395900000
576;271.59259577854600000
577;271.59300342748500000
578;271.59340966809200000
579;271.59381450771200000
580;271.59421795348500000
581;271.59462001269300000
582;271.59502069237400000
583;271.59541999969800000
584;271.59581794167400000
585;271.59621452530500000
586;271.59660975749000000
587;271.59700364517700000
588;271.59739619521100000
589;271.59778741433000000
590;271.59817730940700000
591;271.59856588703700000
592;271.59895315395200000
593;271.59933911673400000
594;271.59972378200700000
595;271.60010715624500000
596;271.60048924600100000
597;271.60087005767400000
598;271.60124959769000000
599;271.60162787236600000
600;271.60200488807000000
601;271.60238065103300000
602;271.60275516755100000
603;271.60312844376200000
604;271.60350048579000000
605;271.60387129982300000
606;271.60424089191300000
607;271.60460926805400000
608;271.60497643425700000
609;271.60534239648800000
610;271.60570716061100000
611;271.60607073256000000
612;271.60643311809600000
613;271.60679432309700000
614;271.60715435330200000
615;271.60751321440500000
616;271.60787091209800000
617;271.60822745205300000
618;271.60858283983300000
619;271.60893708108700000
620;271.60929018129200000
621;271.60964214596200000
622;271.60999298062400000
623;271.61034269062900000
624;271.61069128140400000
625;271.61103875833900000
626;271.61138512673900000
627;271.61173039192000000
628;271.61207455912900000
629;271.61241763356400000
630;271.61275962051600000
631;271.61310052504500000
632;271.61344035234500000
633;271.61377910750900000
634;271.61411679554200000
635;271.61445342156500000
636;271.61478899049200000
637;271.61512350736800000
638;271.61545697710900000
639;271.61578940464800000
640;271.61612079478900000
641;271.61645115246000000
642;271.61678048242800000
643;271.61710878952400000
644;271.61743607844000000
645;271.61776235397000000
646;271.61808762080400000
647;271.61841188359100000
648;271.61873514695000000
649;271.61905741556100000
650;271.61937869395100000
